,bakery,store,grocery,shops,shop,supermarket,market,stores,center,malls,markets,cafe,bakeries,cleaners,gym,bazaar,cable,stalls,sink,club,deli,boutique,sinks,mall,gyms,stall,mart,groceries,supermarkets,centers,hotspots,bookshop,bookstore,clubs,garage,plaza,stand,bookstores,diners,brasserie,grill,joints,diner,joint,cafes,boutiques,steakhouse,bistro,bazaars,salons,stands,marts,barbershop,salon,hotspot,cisterns,cafeteria,gymnasium,hypermarket,pharmacy,cables,nightclub,self-service,automats,dive,cesspool,cesspit,cistern,booths,canteen,bistros,patisserie,pizzeria,casino,brewpub,nightclubs,delicatessen,garages,booth,dives,hdtv,steakhouses,pharmacies,casinos,cabaret,florists,drugstore,nightspot,emporium,buttery,bodegas,rotisserie,emporiums,florist,cybercafe,delis,coffeehouse,grocerys,bookshops,marketplace,patisseries,tearoom,drugstores,caffs,caff,plazas,cafeterias,nightspots,bazar,pull-up,off-licence,newsstands,delicatessens,estaminet,brasseries,discounter,grills,discounters,off-licences,outfitters,newsstand,bakerys,bodega,teahouse,tearooms,juke,pizzerias,charcuterie,canteens,grillroom,charcuteries,souk,souks,coffeehouses,toyshop,teashop,teahouses,confectionery,jook
the palace at one only royal mirage,,1.0,,4.0,2.0,1.0,,,1.0,5.0,,,,1.0,1.0,,,,,21.0,,1.0,,13.0,1.0,,,,,1.0,1.0,,,1.0,,,,,,,24.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,,,
le meridien mina seyahi beach resort and marina,,,,10.0,5.0,4.0,6.0,1.0,2.0,9.0,,,,,5.0,,,,1.0,40.0,,,,11.0,1.0,,,,2.0,1.0,,,,1.0,,,1.0,,,,1.0,,,,1.0,1.0,,1.0,,,1.0,,,2.0,,,,,,,,4.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
crowne plaza dubai festival city,,,,11.0,5.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,,1.0,5.0,,,,,2.0,1.0,1.0,,24.0,,,,,,1.0,,,,,,22.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jebel ali palm tree court spa,,,,,1.0,4.0,1.0,,,6.0,,1.0,,,1.0,,1.0,,,7.0,,,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
hilton dubai jumeirah,,1.0,,43.0,13.0,12.0,5.0,3.0,2.0,32.0,2.0,1.0,,2.0,12.0,,1.0,,,14.0,1.0,,,25.0,,,,,4.0,,,,,1.0,1.0,1.0,3.0,,,,4.0,,2.0,,9.0,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,9.0,,,,,,
arabian court at one and only royal mirage,,,,3.0,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
villa rotana dubai,,1.0,,,,2.0,2.0,,,,,,,,2.0,,1.0,,,,,,,6.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
burj al arab,,1.0,,3.0,7.0,,3.0,2.0,7.0,1.0,,,,1.0,3.0,,,,1.0,13.0,,1.0,5.0,6.0,,,,,1.0,,,,,1.0,,,1.0,,2.0,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,
westin dubai mina seyahi beach resort marina,,1.0,,4.0,4.0,3.0,2.0,,,6.0,,,,2.0,8.0,,2.0,,2.0,23.0,,,,8.0,,1.0,,,,,,,,,,,4.0,,1.0,,12.0,,1.0,,,,2.0,,,,,,,,,,,,,2.0,,1.0,1.0,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
park hyatt dubai,,,,,1.0,,3.0,1.0,5.0,1.0,,2.0,,,,,,,,9.0,,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
the fairmont dubai,,,,1.0,2.0,,2.0,,1.0,3.0,2.0,1.0,,1.0,,,,,,5.0,,,,1.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,
oasis beach tower apartments,,,,6.0,3.0,12.0,2.0,,,6.0,,,,,3.0,4.0,1.0,,,4.0,,,,6.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,
the ritz carlton dubai,,1.0,,4.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,,,,6.0,,1.0,,,21.0,,,1.0,3.0,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,
four points by sheraton downtown dubai,,3.0,1.0,7.0,5.0,5.0,2.0,2.0,7.0,5.0,,,,,11.0,,,,,1.0,,,,9.0,1.0,,,1.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,
intercontinental dubai festival city,,,,7.0,3.0,,,1.0,4.0,1.0,1.0,,,2.0,5.0,,,,,9.0,,,,20.0,,1.0,,,,,,,,,,10.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
le meridien dubai,,,,3.0,5.0,2.0,3.0,,1.0,5.0,1.0,1.0,,1.0,13.0,,,1.0,,34.0,1.0,,,9.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,
hilton dubai creek,,,,4.0,5.0,1.0,3.0,1.0,4.0,11.0,2.0,,,,8.0,1.0,,,,7.0,,3.0,,10.0,,,,,,1.0,,,,1.0,,,3.0,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,15.0,,,,,,
desert palm resort spa,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
bonnington jumeirah lakes towers,,,,1.0,1.0,2.0,,,,1.0,,,,,2.0,,,,1.0,,,,1.0,4.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arjaan dubai media city,,,,1.0,1.0,1.0,,,2.0,1.0,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
radisson blu hotel dubai deira creek,,1.0,1.0,4.0,4.0,2.0,4.0,,5.0,8.0,,,,1.0,4.0,,1.0,,,21.0,,,,7.0,,,,,,,,,,2.0,,,,,,,5.0,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,12.0,,,,,,
al bustan rotana dubai,1.0,,,5.0,3.0,2.0,,,1.0,1.0,,,,,1.0,,,,,10.0,,,,6.0,,,,,,,,,,,,,,,,,3.0,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
arabian courtyard hotel spa,,,1.0,16.0,9.0,1.0,,1.0,8.0,14.0,15.0,2.0,,1.0,8.0,5.0,2.0,,1.0,2.0,,,,12.0,,,,,1.0,,,,,1.0,,,4.0,,,,,,1.0,,2.0,,,,,,2.0,,,3.0,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,28.0,32.0,,,,,,
gold swiss belhotel dubai,,,1.0,3.0,,1.0,1.0,,1.0,2.0,,,,,2.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
dusit thani dubai,1.0,,,,,1.0,,,2.0,1.0,,,,,4.0,,,,,3.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jebel ali golf resort spa,,,,15.0,9.0,1.0,2.0,1.0,5.0,27.0,3.0,2.0,,,3.0,,,,1.0,19.0,,1.0,2.0,31.0,,,,,1.0,2.0,,,,9.0,,,4.0,1.0,,,2.0,,,,,,1.0,,,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,
jumeirah emirates towers hotel,,,,5.0,1.0,,,1.0,3.0,1.0,,,,,6.0,,,,2.0,11.0,,1.0,,8.0,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
four points by sheraton sheikh zayed road dubai,,4.0,3.0,4.0,2.0,2.0,,3.0,2.0,6.0,,,,2.0,11.0,,,,,1.0,,,,8.0,,,,1.0,2.0,,,,,,1.0,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
jumeira rotana,,1.0,,4.0,2.0,2.0,1.0,,3.0,2.0,,,,,4.0,,,,,,,,,5.0,,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
burjuman arjaan dubai,,,,3.0,,,,1.0,2.0,,,,,,8.0,1.0,,,,1.0,,1.0,,10.0,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
taj palace hotel,,1.0,,1.0,1.0,1.0,,1.0,6.0,4.0,1.0,,,,3.0,,,,,7.0,,,,3.0,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
rimal rotana dubai,,,,3.0,,10.0,,,2.0,5.0,,,,,5.0,,,,,,,,,7.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
shangri la hotel,1.0,,,2.0,,,1.0,,2.0,6.0,,,,,8.0,,1.0,,,10.0,,,,5.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
traders hotel dubai,,,,2.0,1.0,,1.0,1.0,3.0,4.0,1.0,,,1.0,5.0,,3.0,,1.0,14.0,,,,4.0,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
hatta fort hotel,,1.0,,,2.0,,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
renaissance dubai hotel,,,,2.0,1.0,,1.0,,7.0,3.0,,,,,,,,,,9.0,,,,7.0,,,,,,2.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,
the address downtown burj dubai,,,,2.0,3.0,1.0,1.0,,1.0,1.0,,,,,4.0,,1.0,,,8.0,,1.0,1.0,23.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
starmetro deira hotel apartments,,,,1.0,,2.0,,,,,,,,,1.0,,,,,,,1.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raffles dubai,,,,3.0,,,1.0,,1.0,2.0,,,,,,,,1.0,,1.0,,,1.0,6.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jw marriott hotel dubai,,,1.0,2.0,4.0,,7.0,,4.0,3.0,,2.0,,,5.0,,1.0,,1.0,2.0,,,,7.0,,,,,,,,,,,,,1.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
atlantis the palm,,3.0,,22.0,13.0,2.0,4.0,1.0,4.0,16.0,,,,2.0,3.0,,,1.0,,55.0,,,,18.0,,,,1.0,,,,,,2.0,1.0,,5.0,,1.0,2.0,2.0,,,,1.0,,2.0,,,,,,,,1.0,,,,,1.0,,4.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
kempinski hotel mall of the emirates,,2.0,,6.0,6.0,1.0,,,2.0,4.0,,,,,1.0,,1.0,,,,,,,24.0,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
hyatt regency dubai,1.0,,,2.0,1.0,1.0,1.0,,,4.0,,,,,5.0,,,,,8.0,,,,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.0,,,,,,
samaya hotel deira,,,,,,,,,1.0,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layia oak hotel suites,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jumeirah beach club resort and spa,,,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the baron hotel apartments,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
novotel deira city centre,,1.0,,5.0,2.0,2.0,,1.0,1.0,1.0,,,,,,,,,,2.0,,,,5.0,,2.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the palace the old town,,,,3.0,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,,,,,1.0,,,2.0,9.0,,,,,1.0,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,
habtoor grand resort spa,,,,14.0,7.0,4.0,5.0,1.0,5.0,27.0,1.0,1.0,,1.0,19.0,,2.0,,1.0,41.0,,,1.0,30.0,,,,,1.0,,,,,4.0,,1.0,2.0,,,,16.0,,,,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,,,,,,
jumeirah bab al shams desert resort spa,,1.0,,1.0,1.0,,2.0,,,,,,,,1.0,,,,,5.0,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flora grand hotel,,,,2.0,5.0,1.0,,1.0,1.0,5.0,,1.0,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xclusive hotel apartments,,1.0,2.0,1.0,1.0,8.0,1.0,,2.0,1.0,,,,,3.0,,,,,,,,,9.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holiday inn dubai al barsha,1.0,,,3.0,,,,,,2.0,,,,,7.0,,,,,2.0,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
riviera hotel,,,,1.0,1.0,,1.0,,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,
premier inn,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grand hyatt hotel dubai,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
holiday inn express dubai safa park,,,,,,,,,,,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
al murooj rotana dubai,,,,,,3.0,,,1.0,4.0,,,,,1.0,,,,,6.0,,,,6.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ramada dubai,,2.0,,4.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,,3.0,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
le meridien al sondos suites,,,1.0,,2.0,,1.0,1.0,1.0,,,1.0,,,6.0,,,,,1.0,,,,10.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
the monarch dubai,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
beit al bahar,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moevenpick hotel bur dubai,,1.0,,1.0,1.0,,1.0,,1.0,5.0,,,,1.0,2.0,,,,,3.0,,,,1.0,,,,,,,,,,1.0,,3.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
metropolitan palace hotel,,1.0,,3.0,3.0,1.0,,1.0,1.0,7.0,2.0,1.0,,,2.0,,,,,,,,,4.0,,,,,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
le meridien residence deira,,1.0,2.0,3.0,1.0,7.0,1.0,1.0,2.0,4.0,,,,1.0,,,,,,,,,,2.0,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,2.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,
dream palace hotel,,,,,,,,1.0,3.0,2.0,,,,,2.0,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
golden sands hotel apartments,,7.0,1.0,9.0,8.0,38.0,5.0,2.0,5.0,12.0,2.0,,,,8.0,3.0,2.0,,1.0,,,,,20.0,,,1.0,4.0,9.0,2.0,,,,,,,3.0,,,,2.0,,,,2.0,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,,,,,,
la maison d hotes,,,,1.0,,2.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sheraton dubai creek hotel and towers,,2.0,,1.0,1.0,,,,4.0,5.0,,1.0,,,6.0,,,,1.0,5.0,,,,4.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,4.0,,,,,,
